"","NAME_1","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm1","pop_risk_UC_adm1","pop_risk_LC_adm1","total_pop"
"111","Zamfara","5_10","mea",0.91235304643631,0.928036242063428,0.89364415315686,71389.5655468619,58615.4019657767,86628.1985942961,814512.799865723
"112","Abia","0_5","dip",0.851391742153591,0.870014762761278,0.830621268397384,66956.217437206,58565.5194018746,76314.4615701241,450555.160308838
"113","Abia","10_15","dip",0.920474059889298,0.930537021957742,0.909091366619343,41582.0236932934,36320.3653391479,47533.7348027238,522873.714355469
"114","Abia","5_10","dip",0.890796914122685,0.903888016918367,0.876164579512045,50175.5341497168,44160.5660734468,56898.6518990729,459469.929321289
"115","Adamawa","0_5","dip",0.768960014503012,0.810507450049241,0.721232911519188,183280.31816292,150321.403326658,221141.464150499,793283.975363255
"116","Adamawa","10_15","dip",0.907450565411024,0.926251974030164,0.884311319072538,53384.2912307308,42539.2776687389,66731.4528949742,576819.204437256
"117","Adamawa","5_10","dip",0.851008215838975,0.878650552979373,0.818182109824722,101438.137607221,82618.3938581127,123787.148847897,680830.410739899
"118","Akwa Ibom","0_5","dip",0.846256921395562,0.870384733074591,0.818475957074253,111238.425114568,93781.1203890556,131338.911896268,723534.523468018
"119","Akwa Ibom","10_15","dip",0.913305954513398,0.927015273500224,0.897222931420611,67954.4911810113,57208.5421258145,80561.0507755998,783842.659545898
"120","Akwa Ibom","5_10","dip",0.883869466128129,0.901477784196574,0.863492503285522,88317.0535341528,74925.9606178572,103813.695616411,760498.127319336
"121","Anambra","0_5","dip",0.831358530331547,0.851755108433075,0.808790386762968,111071.111260178,97637.4605685917,125935.004406801,658622.766265869
"122","Anambra","10_15","dip",0.916043536458815,0.926766501663879,0.903909200695658,64843.6725477469,56561.8034078333,74215.6120223599,772348.78427124
"123","Anambra","5_10","dip",0.880058032535704,0.894532844050458,0.863896576021331,83138.6358754198,73105.316351553,94341.0654900986,693157.179534912
"124","Bauchi","0_5","dip",0.636342287568836,0.674693242463895,0.596169512436321,514068.861193252,459855.706804816,570857.352286381,1413606.37660217
"125","Bauchi","10_15","dip",0.862081204699801,0.881165067389878,0.840465043176759,125134.755523316,107819.824030727,144747.260705447,907307.486633301
"126","Bauchi","5_10","dip",0.767225156397911,0.794832820968878,0.737105673009066,263478.694235085,232229.478041977,297571.047306939,1131903.64627838
"127","Bayelsa","0_5","dip",0.858745971545706,0.883694237961531,0.829370115752219,44051.1030576315,36270.8035007353,53212.1787814558,311857.322156906
"128","Bayelsa","10_15","dip",0.92234429367531,0.936554810540643,0.905189494622036,25651.8672677254,20957.733253785,31318.5806252624,330328.168807983
"129","Bayelsa","5_10","dip",0.894738460706043,0.913263934212973,0.872706161727719,35007.5049221212,28846.3694368479,42334.9278355877,332576.410690308
"130","Benue","0_5","dip",0.891575035754749,0.912480787754478,0.866349462523292,122696.963929673,99039.3836215864,151242.984400424,1131630.19959259
"131","Benue","10_15","dip",0.952896481147144,0.962504107155129,0.940939083731427,38694.5712766806,30802.1042504479,48517.3271525505,821479.418502808
"132","Benue","5_10","dip",0.928091653049557,0.942246676303513,0.910747616590642,68335.6004275661,54883.8656269889,84817.9031854696,950315.273895264
"133","Borno","0_5","dip",0.755302801643077,0.816060585854428,0.680566850750571,302714.736116823,227551.322975678,395170.529664019,1237099.31355762
"134","Borno","10_15","dip",0.918735013514223,0.941196517002945,0.887471534883696,64563.6508947676,46718.3680425856,89401.9534324862,794483.007833481
"135","Borno","5_10","dip",0.855168892357939,0.8929556081476,0.805175619495257,149538.265639494,110523.443234329,201156.370611829,1032501.01496887
"136","Cross River","0_5","dip",0.88835960595262,0.910020458669881,0.862209355620771,58253.8756988634,46951.2586444378,71899.0571345291,521799.26625967
"137","Cross River","10_15","dip",0.94245548562976,0.953896401660832,0.928336123070658,30334.7918688373,24303.6729969589,37777.8631891594,527153.495008469
"138","Cross River","5_10","dip",0.919789153120319,0.935223222811397,0.90100066751472,42610.8003238786,34411.6840275768,52591.8993855699,531234.888814926
"139","Delta","0_5","dip",0.860083974065162,0.881641487420085,0.835252613406798,109311.225263125,92469.1359977375,128711.050553906,781263.079284668
"140","Delta","10_15","dip",0.929854568533894,0.941173452415684,0.916500864857565,56687.0665989767,47539.866118171,67478.6787370937,808136.259399414
"141","Delta","5_10","dip",0.900492613118245,0.915923595948997,0.882527213813978,77187.700779737,65217.9151909269,91123.4286622716,775698.198883057
"142","Ebonyi","0_5","dip",0.890246751859069,0.907743085011517,0.869881035712708,50636.0399255769,42563.8868087874,60032.0189363841,461362.563598633
"143","Ebonyi","10_15","dip",0.946062783730299,0.954842738918142,0.935671013855334,22749.017733618,19045.9093776013,27131.9387206257,421768.480224609
"144","Ebonyi","5_10","dip",0.92286956197798,0.935036424432406,0.908621295549806,33710.7784608675,28393.1060181426,39938.1533511082,437061.934631348
"145","Edo","0_5","dip",0.855415523753863,0.878540608539339,0.828735258583416,88174.8621684637,74072.0261204072,104445.825449593,609850.133691788
"146","Edo","10_15","dip",0.933877246457901,0.945085409123931,0.920561026080925,39724.6762142675,32991.1297568984,47724.6839958007,600771.657051086
"147","Edo","5_10","dip",0.901236777806405,0.91732085354593,0.882410560544771,57563.9353938165,48189.3658306203,68536.756349722,582847.887252808
"148","Ekiti","0_5","dip",0.839603588347894,0.864763398898914,0.810801626397507,58943.2626642757,49697.4116716191,69527.5493761904,367484.92099762
"149","Ekiti","10_15","dip",0.934346874234317,0.945539691531074,0.921046496741143,29228.463681569,24245.4739147103,35149.729363539,445195.310058594
"150","Ekiti","5_10","dip",0.896173035581028,0.912991677655628,0.876547503398414,41892.3134439934,35106.2937482972,49810.8628333564,403482.021057129
"151","Enugu","0_5","dip",0.856656672469834,0.877475379033297,0.832952629202873,78180.5843881074,66825.8971949172,91108.9570365098,545407.907958984
"152","Enugu","10_15","dip",0.932346620606946,0.942687125376943,0.920276042904278,40990.9697060147,34725.6904017949,48304.4947565459,605896.853546143
"153","Enugu","5_10","dip",0.900709790571817,0.915281735626486,0.883921547525557,53870.8774104408,45964.7256338192,62979.5034098242,542559.8125
"154","Federal Capital Territory","0_5","dip",0.817035893487846,0.847852199746755,0.781609273852396,139117.283608469,115686.016682344,166054.015544942,760352.870628357
"155","Federal Capital Territory","10_15","dip",0.931061812500144,0.944013987218292,0.915385219744,36350.2880253207,29520.7600288103,44616.3693165165,527288.130767822
"156","Federal Capital Territory","5_10","dip",0.885933456598552,0.90627582244171,0.861858969987361,68623.6804577518,56385.4906104223,83107.1549904765,601610.94052124
"157","Gombe","0_5","dip",0.691660384797835,0.729245689112166,0.65139340711685,215017.44516075,188807.721496283,243097.206042703,697339.668857574
"158","Gombe","10_15","dip",0.878957542302916,0.89702135792641,0.858218996410028,58097.7106341603,49427.4774530981,68051.7553650885,479977.949386597
"159","Gombe","5_10","dip",0.801214751931275,0.827177142241989,0.772434962876115,111314.766815208,96776.4776238323,127430.728833469,559974.987564087
"160","Imo","0_5","dip",0.841529685374482,0.860190228481268,0.820903135604026,108597.616270546,95809.7922260265,122732.718748575,685286.809249878
"161","Imo","10_15","dip",0.917527412189075,0.92755694337814,0.906248521746606,63645.0640900547,55905.1571432192,72349.1162379196,771711.73815918
"162","Imo","5_10","dip",0.884882874890066,0.898047422656537,0.870266178318007,80524.1945011978,71315.6201569786,90748.5439766517,699497.96282959
"163","Jigawa","0_5","dip",0.597642518473725,0.636220081673397,0.557837260624014,525891.676563042,475469.799699129,577918.182214689,1307025.96747589
"164","Jigawa","10_15","dip",0.85921887685313,0.878052978012742,0.837968710432677,108737.886757383,94190.6213762542,125151.296013908,772389.680709839
"165","Jigawa","5_10","dip",0.750483994401442,0.778034584231631,0.720710615480959,260899.053532129,232091.591687325,292030.709243647,1045620.51202393
"166","Kaduna","0_5","dip",0.676679611456333,0.712297468107295,0.638851347791979,566246.077847508,503866.864087475,632496.480515289,1751346.64534473
"167","Kaduna","10_15","dip",0.879832242271322,0.896770639724518,0.860526089278486,138837.792681996,119267.73696637,161143.473651415,1155366.42528915
"168","Kaduna","5_10","dip",0.795261336818577,0.820588226282755,0.767336435126778,285689.023873695,250348.291369417,324654.980679956,1395383.84902191
"169","Kano","0_5","dip",0.579023794743884,0.61303045820062,0.544292558683136,1170128.0630438,1075604.54664457,1266665.57150976,2779558.6744194
"170","Kano","10_15","dip",0.847131687507356,0.864528312518078,0.827935824189139,282317.617841934,250189.483165543,317768.590748299,1846802.73654175
"171","Kano","5_10","dip",0.733980760267207,0.758638975554489,0.707780305592825,604055.237925314,548063.332538569,663549.137306362,2270720.11231995
"172","Katsina","0_5","dip",0.588398412612396,0.629884739750691,0.545657873367697,713181.79457172,641298.463347304,787238.29827221,1732699.32970428
"173","Katsina","10_15","dip",0.861180702991643,0.881133247078604,0.838442631141643,144227.198723812,123497.375110726,167851.064266862,1038956.41191101
"174","Katsina","5_10","dip",0.748443011217917,0.778189381902023,0.716135542182886,339125.906728884,299024.596171061,382679.853624437,1348107.67282104
"175","Kebbi","0_5","dip",0.709133743681504,0.756423950368237,0.656818176337731,285500.091584687,239082.337559149,336850.493852034,981551.092238307
"176","Kebbi","10_15","dip",0.91299217769792,0.931108520089427,0.8905976120754,52209.1103760895,41338.3852561643,65646.9866207268,600050.765491247
"177","Kebbi","5_10","dip",0.834991828869652,0.864885832316798,0.799937010733811,135057.213994892,110589.32981032,163749.163260751,818488.036499739
"178","Kogi","0_5","dip",0.845091989167087,0.871101043618219,0.81495688255068,140565.137414753,116964.251357966,167910.046046447,907410.382839203
"179","Kogi","10_15","dip",0.93449389129285,0.946375285364658,0.920195260763919,40846.5399349111,33437.8593245856,49762.4959341532,623553.142463684
"180","Kogi","5_10","dip",0.898155137927024,0.915869125858262,0.87720691780018,73714.7626974889,60893.4736290064,88876.9716116567,723794.614643097
"181","Kwara","0_5","dip",0.787683226925289,0.823105930413191,0.747309978511006,128237.301552544,106842.327226206,152622.357695689,603990.441713333
"182","Kwara","10_15","dip",0.918365983231558,0.933661442371805,0.899832905085414,36855.057815149,29949.6640437996,45222.1294552264,451466.916294098
"183","Kwara","5_10","dip",0.865907793645417,0.889459070700838,0.838159320450158,68289.6400161074,56295.5929662632,82421.2088597883,509273.744333267
"184","Lagos","0_5","dip",0.699372189142336,0.728281595123714,0.668785793022831,529037.102243861,478163.071912646,582862.256759613,1759774.32272339
"185","Lagos","10_15","dip",0.851983284059612,0.868105883640497,0.834225688483459,210131.644426993,187243.227123276,235341.180632278,1419648.06536865
"186","Lagos","5_10","dip",0.785439334766246,0.805738376108275,0.763608424204553,311063.515376563,281634.583695415,342713.304380495,1449769.53272247
"187","Nassarawa","0_5","dip",0.855734785137699,0.88162860492314,0.825289859279795,74814.6886083206,61386.3783536498,90603.1629812769,518591.322792053
"188","Nassarawa","10_15","dip",0.944017378770949,0.954924043580815,0.930654970149911,19120.879335679,15395.7050368394,23684.8135936256,341550.268920898
"189","Nassarawa","5_10","dip",0.909059979986734,0.926039060208274,0.888642152713853,37260.6294662041,30303.8329236098,45626.3753326423,409727.526569366
"190","Niger","0_5","dip",0.758296437186404,0.79606824631401,0.716104839553824,294594.915335027,248557.600938552,346019.1888862,1218827.359869
"191","Niger","10_15","dip",0.913226107983798,0.929256277346509,0.893970590487502,65507.3282460796,53405.8361741643,80043.6994502486,754919.788936615
"192","Niger","5_10","dip",0.851346725658935,0.876596209670125,0.821999671130224,143061.397043072,118761.720676914,171304.505972808,962383.086933136
"193","Ogun","0_5","dip",0.730837248810929,0.762865706917913,0.696100211990689,201438.472249988,177468.722939982,227435.292377025,748389.111643791
"194","Ogun","10_15","dip",0.875177094629892,0.892040215792934,0.855970928060302,80583.2154509153,69696.7157189379,92982.3392661672,645580.354118347
"195","Ogun","5_10","dip",0.813626958801199,0.836236064597216,0.788528348078981,125567.464648429,110334.746040024,142477.468876052,673742.639175415
"196","Ondo","0_5","dip",0.845986513795243,0.871531373182842,0.816445526089659,99201.9177470172,82748.170076773,118229.619182455,644111.890403748
"197","Ondo","10_15","dip",0.932850105823468,0.944813948326354,0.91851633352361,45546.6390162602,37431.7667233301,55268.9946608815,678283.109375
"198","Ondo","5_10","dip",0.897228104623297,0.914723792339399,0.876631007806515,68008.9630586221,56431.2493732975,81639.0239949598,661746.704284668
"199","Osun","0_5","dip",0.812690346960096,0.838855940702304,0.783384105113742,115387.871457793,99269.1497670354,133441.318315429,616027.362098694
"200","Osun","10_15","dip",0.922130487552612,0.934061271463096,0.908248245759741,53423.0259210662,45237.8125034393,62947.0532307803,686058.307571411
"201","Osun","5_10","dip",0.877506804551616,0.895048721267123,0.857497523920664,80435.4922830272,68916.5446269164,93574.6412119819,656652.738861084
"202","Oyo","0_5","dip",0.780443802353973,0.8130434508511,0.743857555322268,236245.386036936,201167.731083699,275612.673985614,1076013.28757668
"203","Oyo","10_15","dip",0.909073688304823,0.924237750785048,0.891103446783123,98856.864793914,82370.1994229538,118394.462913809,1087219.56220245
"204","Oyo","5_10","dip",0.856299815906109,0.878506720358127,0.830671402314625,155973.434193616,131869.866254359,183790.738019659,1085408.72913361
"205","Plateau","0_5","dip",0.778825824399736,0.811598987735931,0.742081346612505,177285.57323622,151015.738464359,206738.676384882,801565.430299759
"206","Plateau","10_15","dip",0.914993004567156,0.929490347456621,0.897805306900748,51790.2548951043,42957.792581573,62261.8077205004,609246.975868225
"207","Plateau","5_10","dip",0.860713464383282,0.882824804728077,0.835151891912702,96411.0717979232,81106.0890722672,114104.229200519,692177.972343445
"208","Rivers","0_5","dip",0.839800453502331,0.862520259120827,0.814119617740152,131669.130320598,112995.562809069,152776.389265063,821907.010345459
"209","Rivers","10_15","dip",0.910009453150061,0.923020426525083,0.895031701964989,80203.2996562666,68607.3817188337,93552.0913740948,891241.385498047
"210","Rivers","5_10","dip",0.879283611672916,0.895900376605595,0.860409485212015,101701.297093069,87701.9837391513,117602.395271813,842481.277832031
"211","Sokoto","0_5","dip",0.674145502259105,0.721808433528166,0.622620474722255,360586.619194637,307843.39985481,417603.587234761,1106587.82276917
"212","Sokoto","10_15","dip",0.909454872666049,0.927265088755366,0.887705034192518,59365.1068163441,47687.997161786,73625.1948214908,655641.099243164
"213","Sokoto","5_10","dip",0.819647444635775,0.849577694152209,0.785155811138814,159932.625310477,133391.147305389,190519.036937833,886777.705963135
"214","Taraba","0_5","dip",0.803234135367129,0.841428852171255,0.758128426766596,121260.792123789,97722.5548220411,149058.062572149,616269.454816461
"215","Taraba","10_15","dip",0.913566220271602,0.932371233917856,0.889914447235649,36011.3361851366,28176.5096796975,45865.4921973884,416634.981118441
"216","Taraba","5_10","dip",0.867604992029447,0.894359057231866,0.83501448638589,67293.31302067,53694.8419616839,83858.3114401089,508276.815358758
"217","Yobe","0_5","dip",0.645916421498582,0.696929191934876,0.591109155697822,245490.73407787,210122.919182999,283489.32178751,693312.960507393
"218","Yobe","10_15","dip",0.878693421212617,0.900899519017392,0.851994597647473,56439.2861021729,46107.6427589604,68861.2219678748,465261.543655396
"219","Yobe","5_10","dip",0.784415682819228,0.819176744846789,0.744647644602265,126566.418812623,106158.704594419,149913.655968579,587085.463672638
"220","Zamfara","0_5","dip",0.630672183999073,0.677528462997055,0.581263431419171,365401.837654801,319043.643904549,414285.372029267,989369.935932159
"221","Zamfara","10_15","dip",0.881047378656061,0.901678026344046,0.856755521205572,69868.7420066582,57750.9981145391,84136.9565436319,587366.139705658
"222","Zamfara","5_10","dip",0.780347335129796,0.81259722533343,0.744295042361349,178909.907061397,152641.958696273,208274.960985804,814512.799865723
